Category,Subject,Body
MDU,"""FW: Test Pension Fund""",""" 
 
From: ABC XYZ<abc.xyz@testmail.com>
Sent: Saturday, November 21, 2020 4:50 PM
To: Test Pensions <test.pensions@pensions.com>
Subject: RE: Test Pension Fund
 
Thank you for your email of 20 November. The requested information is – date of birth 1st January 1400; NI number ZZ123123Z.
 
I look forward to resolution of my enquiry.
 
ABC XYZ
 
Sent from Mail <https://go.microsoft.com/fwlink/?LinkId=550986>  for Windows 10
 
From: test.pensions@pensions.com
Sent: 20 November 2020 12:31
To: abc.xyz@testmail.com
Subject: Test Pension Fund
 
Dear ABC XYZ
 
Test Pension Fund
 
Thank you for your email regarding the Test Pension Fund. Please accept our apologies for the delay in responding to you.
 
To enable us to answer your enquiry, please could you provide date of birth and National Insurance number for data verification purposes?
 
If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 8.30am and 5.30pm, Monday to Friday, or alternatively e-mail us at test.pensions@pensions.com <mailto:test.pensions@pensions.com> .
 
Yours sincerely
 
ABC XYZ | Administrator | Customer Support Centre
Test Pensions | 10 Test Road | Test Street | AA12 123
Direct Dial: +91 012345678 
 
 
 
From: ABC XYZ<abc.xyz@testmail.com>
Sent: 12 November 2020 22:03
To: Test Pensions
Subject: RE: Test Pension Fund
 
Thank you for your reply although I would like to point out that as yet I have not heard any further from you and wonder whether you could ‘gee up’ the relevant payroll team as without help I am unable to resolve my problems.
 
With thanks,
ABC XYZ
 
From: test.pensions@pensions.com <mailto:test.pensions@pensions.com>  
Sent: 07 October 2020 16:38
To: test.pensions@pensions.com <mailto:test.pensions@pensions.com>  
Subject: Test Pension Fund
 
Dear ABC XYZ
 
Test Pension Fund
 
Thank you for your email regarding the Test Pension Fund.
 
I can confirm that I have forwarded your query to the payroll team; once a response has been received we will be in touch accordingly.
 
If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 8.30am and 5.30pm, Monday to Friday, or alternatively e-mail us at test.pensions@pensions.com.
 
Yours sincerely
 
ABC XYZ | Administrator | Customer Support Centre
Test Pensions | 10 Test Road | Test Street | AA12 123
Direct Dial: +91 012345678 
 
 
 
 
From: ABC XYZ<abc.xyz@testmail.com> 
Sent: 05 October 2020 16:35
To: Test Pensions
Subject: Test Pension Fund personal accident cover
 
 
Dear Pensions administrator,
 
I have a small deduction from my pension each month, which is for my subscription to a personal accident policy with Fin Corp insurance. As far as I am aware, the policy reference for this is FIN 12345678. I have recently moved house, and have tried informing Test Pension of my new address, but they have replied, saying that they have no record of a policy for me. Please can you check your records, and let me know if my policy number or provider has changed, or whether there is some other identifying detail I need for them to find my policy. I also don’t know how I would go about advising them of a claim, in the event of an accident, or exactly what benefits the policy covers, as I have not had any direct contact from Cigna since 1st January 1400. Do you have some up to date literature on the policy please?
 
Kind regards
 
ABC XYZ
FIN 12345678
 
"""
MDU,"""FW: Test Pension Fund""",""" 
 
From: ABC XYZ<abc.xyz@testmail.com> > 
Sent: Saturday, November 21, 2020 3:16 AM
To: Test Pensions <test.pensions@pensions.com>
Subject: Re: Test Pension Fund
 
Hi,
My DOB: 01/01/1400
NI: ZZ123123Z
Regards 



	On 20 Nov 2020, at 15:10, test.pensions@pensions.com <mailto:test.pensions@pensions.com>  wrote:
	﻿ 
	Dear ABC XYZ
	Test Pension Fund
	Thank you for your email regarding the Test Pension Fund. Please accept our apologies for the delay in responding to you.
	To enable us to answer your enquiry, please could you provide your date of birth and National Insurance number for data verification purposes?
	If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 8.30am and 5.30pm, Monday to Friday, or alternatively e-mail us at testfund@fincorp.com.
	Yours sincerely
	ABC XYZ | Administrator | Customer Support Centre
	Test Pensions | 10 Test Road | Test Street | AA12 123
	Direct Dial: +91 012345678 
	-----Original Message-----
	From: ABC XYZ<abc.xyz@testmail.com>
	Sent: 10 November 2020 09:39
	To: Test Pensions
	Subject: Change of Address
	Hi,
	can I change my address please?
	10 Test Road,
	Test Street,
	AA12 123 
	Regards
	ABC XYZ
	123456/57
"""
MDU,"""FW: Test Pension Fund""",""" 
 
From: ABC XYZ <abc.xyz@testmail.com>
Sent: Saturday, November 21, 2020 5:03 PM
To: Test Pensions <test.pensions@pensions.com>
Subject: Re: Test Pension Fund
 
Thanks for getting back to me. My address is 10 Test Road, Test Street, AA12 123. Date of birth is 1st January 1400 and National Insurance Number is ZZ123123Z. 
 
Regards
ABC XYZ
 
On 21 Nov 2020 03:29, test.pensions@pensions.com <mailto:test.pensions@pensions.com>  wrote:
	Dear ABC XYZ
	Test Pension Fund
	Thank you for your email regarding the Test Pension Fund. Please accept our apologies for the delay in responding to you.
	To enable us to answer your enquiry, please could you provide your full address, date of birth and National Insurance number for data verification purposes?
	If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 8.30am and 5.30pm, Monday to Friday, or alternatively e-mail us at test.pensions@pensions.com <mailto:test.pensions@pensions.com> .
	Yours sincerely
	ABC XYZ | Administrator | Customer Support Centre
	Fin Corp Ltd. | 10 Test Road | Test Street | AA12 123
	Direct Dial: +91 012345678
	From: ABC XYZ <abc.xyz@testmail.com>
	Sent: 14 November 2020 22:28
	To: Test Pensions
	Subject: Logging in to manage my benefits
	My name is ABC XYZ  based in Test locatyion. My FIN is 123456 and am a Driver Specialist in Fin Corp Ltd.. I would to be able to access and manage my pension benefits online. I know I received a letter way back in 1400 to activate my account. I cant remember if I did. If I did I have completely forgotten my log in details. Please could you assist.
	Thank you. Regards
	ABC XYZ 
	12345678
"""
MDU,"""FW: Test Pension Plan """,""" 
 
From: ABC XYZ <abc.xyz@testmail.com>
Sent: Sunday, November 22, 2020 3:12 AM
To: Test Pensions <test.pensions@pensions.com>
Subject: Re: Test Pension Plan
 
Hi, this is my previous address 
10 Test Road,
Test Street,
AA12 123 
This is my new address 
10 Test Road,
Test Street,
AA12 123 
Thanks 
ABC XYZ 
Sent from my iPhone



	On 21 Nov 2020, at 04:06, test.pensions@pensions.com wrote:
	﻿ 
	Dear Mr ABC XYZ
	Test Pensions Plan 
	Thank you for your email regarding the Test Pensions Plan.
	To enable us to update your address, please could you provide your previous full address and current full address for data verification purposes?
	If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 9.00 am and 5.00 pm, Monday to Friday, or alternatively e-mail us at testscheme@fincorp.com.
	Yours sincerely
	ABC XYZ | Administrator | Customer Support Centre
	Fin Corp Ltd. | 10 Test Road | Test Street | AA12 123
	Direct Dial: +91 012345678 
	-----Original Message-----
	From: Test Pensions
	Sent: 12 October 2020 22:24
	To: Test Pensions
	Subject: *PRE-IDENTIFIED USER SUPPORT REQUEST*
	Reply e-mail address: abc.xyz@testmail.com
	Forename: ABC
	Surname: XYZ
	NI Number: ZZ123123Z
	DOB: 01 Jan 1400
	Home Postcode: AA12 123
	Employer: Test Pension
	Subject: Personal details 
	Content: I had asked to change my new address and married status. I had been told it’s already done but Today I had checked it out my personal details it’s not been done yet!
	Would you look into this please.
	Thanks 
	ABC XYZ 
"""
MDU,"""FW: Test Pension Plan""",""" 
 
From: ABC XYZ <abc.xyz@testmail.com> 
Sent: Sunday, November 22, 2020 7:39 PM
To: Test Pensions <test.pensions@pensions.com>
Subject: Re: Test Pension Plan
 
Please find attached the screenshot
regards
ABC XYZ
 
 
On Fri, Nov 20, 2020 at 11:06 PM < test.pensions@pensions.com <mailto:test.pensions@pensions.com>  > wrote:
	Dear ABC XYZ
	Test Pension Fund 
	Thank you for your email regarding the Test Pension Fund.
	Please accept our apologies for any inconvenience this has caused you.
	Could you please share the screenshot of an error you are getting on Fin Corp while entering your post code, so that we can able to assist you properly.
	If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 9.00 am and 5.00 pm, Monday to Friday, or alternatively e-mail us at test.pensions@pensions.com <mailto:test.pensions@pensions.com> .
	Yours sincerely
	ABC XYZ | Administrator | Customer Support Centre
	Fin Corp Ltd. | 10 Test Road | Test Street | AA12 123
	Direct Dial: +91 012345678 
	From: ABC XYZ <abc.xyz@testmail.com> 
	Sent: 19 November 2020 00:31
	To: test.pensions@pensions.com
	Subject: Re: Fin Corp login
	Further to your response, please also see my additional info
	ABC XYZ
	DOB 01/01/1400
	Payroll 123456
	NI ZZ123123Z
	address
	10 Test Road, Test Street, AA12 123 
	I am trying to create a Fin Corp account, but using the link you sent me, It asks for a post code, I put in my USA zip code which was not accepted
	please help
	thanks
	ABC XYZ 
	On Wed, Nov 18, 2020 at 9:25 AM ABC XYZ < abc.xyz@testmail.com <mailto:abc.xyz@testmail.com>  > wrote:
		Hi, my name i ABC XYZ Payroll number 13245678
		I have tried to login to the fin corp website using the link you sent me, but I do not have a UK post code as I live in the USA and it does not accept my US zip code 12345, please help me to create a fin corp account
		thanks
	ABC XYZ 
"""
MDU,"""FW: Test Pension Scheme""",""" 
 
From: ABC XYZ<abc.xyz@testmail.com> 
Sent: Saturday, November 21, 2020 9:49 PM
To: Test Pensions <test.pensions@pensions.com>
Subject: Re: Test Pension Scheme
 
Hi 
 
I haven’t heard from you and wondered if there was a problem?
 
Regards
ABC XYZ (was DEF)
 
Sent from my iPhone



	On 13 Nov 2020, at 12:49, ABC XYZ wrote:
	﻿ Dear ABC XYZ,
	 
	Thank you for the prompt reply to my email. It was very much appreciated.
	 
	Please find below a copy of my marriage certificate and driving license as proof of my name change from ABC XYZ to ABC DEF. My address is 10 Test Road, Test Street, AA12 123. As shown on both documents below.
	My National Insurance no is ZZ123123Z.
	 
	I am happy to supply you with any further information if required. I look forward to hearing from you and receiving my pension forecast.
	 
	Kind regards 
	ABC XYZ
	 
	 
	Sent from my iPhone
	
	
	
		On 12 Nov 2020, at 14:23, testfund@fincorp.com <mailto:testfund@fincorp.com>  wrote:
		﻿ 
		Dear Mrs ABC XYZ
		ABC XYZ Pension Scheme 
		Thank you for your email regarding the ABC XYZ Pension Scheme.
		To enable us to answer your enquiry, please could you provide your full address and National Insurance number for data verification purposes?
		In order to update your name on our records please write into us advising of the change including proof of your name change (e.g. Marriage Certificate, Deed poll document, passport or drivers license). We will accept documents via email.
		If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 8.30am and 5.30pm, Monday to Friday, or alternatively e-mail us at test.pensions@pensions.com.
		Yours sincerely
		ABC XYZ | Administrator | Customer Support Centre
		Test Pensions | 10 Test Road | Test Street | AA12 123
		Direct Dial: +91 012345678 
		-----Original Message-----
		From: ABC XYZ<abc.xyz@testmail.com>
		Sent: 11 November 2020 16:39
		To: Test Pensions 
		Subject: Test Pension Scheme
		Hello,
		I was contacted by the Fin Corp Group before the 1st lockdown in March. I’m very pleased to have received the Pension Review from you. However, it is showing my previous surname DEF. I would like to update this to XYZ. Please tell me how I go about this. I would also like my pension forecast as I am 60 next year and would like to know all my options. 
		I look forward to hearing from you.
		Kind regards
		Mrs ABC XYZ (DEF)
		abc.xyz@testmail.com  
		DOB 1st January 1400
		Sent from my iPhone
"""
MDU,"""FW: Test Pension Scheme - ABC""",""" 
 
From: ABC XYZ<abc.xyz@testmail.com>
Sent: Monday, November 23, 2020 10:57 AM
To: Test Pensions <test.pensions@pensions.com>
Subject: Re: Test Pension Scheme - ABC
 
Could you please send me the form.out as cannot print of 
 
On Wed, 18 Nov 2020, 01:36 , < abc.xyz@testmail.com> wrote:
	Dear ABC XYZ
	Test Pension Scheme - ABC
	(Formerly Test Pension Fund)
	Thank you for your email advising us of your change of bank details. Due to data protection requirements we cannot update our records without a signed letter on file. 
	I have attached a Change of Bank details form for you to print and complete as appropriate and send us back. 
	Should you have any further queries please do not hesitate to contact the Customer Support Centre between 9.00am and 5.00pm, Monday to Friday on our helpline +91 012345678. Alternatively, please email us at abc.xyz@testmail.com
	Yours sincerely 
	ABC XYZ | Administrator | Customer Support Centre
	Test Pensions | 10 Test Road | Test Street | AA12 123
	Direct Dial: +91 012345678 
	From: ABC XYZ<abc.xyz@testmail.com>
	Sent: 13 November 2020 15:58
	To: Test Pensions
	Subject: ABC XYZ
	Hello I was told to confirm new va I details for my pension 
	10 Test Road,
	Test Street,
	AA12 123 
	Test bank
	Account no 12345678
	Sort code 022154
	My old account is now closed which was Test please do not pay into this account 
	Any problems please contact me asap +91 012345678
"""
MDU,"""FW: Test Pension Scheme""",""" 
 
From: Test Pensions <test.pensions@pensions.com>
Sent: Friday, November 20, 2020 1:10 PM
To: Test Pensions <test.pensions@pensions.com>
Subject: FW: Test Pension Scheme
 
Hello Team
 
Please see below query and reply accordingly to the Member/IFA.
 
Many Thanks, 
 
ABC XYZ - Agent - Customer Support Centre

Test Pensions | 10 Test Road | Test Street | AA12 123
+91 012345678
 
From: ABC XYZ <abc.xyz@testmail.com>
Sent: 19 November 2020 22:47
To: Test Pensions <test.pensions@pensions.com>
Subject: Re: Test Pension Scheme
 
Hi ABC,
 
My date of birth is 01 Jan 1400.
NI number is ZZ123123Z
 
Best regards
 
ABC XYZ
Sent from my iPhone
 
On 19 Nov 2020, at 20:59, test.pensions@pensions.com <mailto:test.pensions@pensions.com>  wrote:
	﻿ 
	Dear ABC XYZ
	 
	Test Pension Scheme
	 
	Thank you for your email regarding the Test Pension Scheme.
	To enable us to answer your enquiry, please could you provide your date of birth and National Insurance number for data verification purposes?
	If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 8.30am and 5.30pm, Monday to Friday, or alternatively e-mail us at test.pensions@pensions.com <mailto:test.pensions@pensions.com> .
	 
	Yours sincerely
	 
	ABC XYZ Administrator | Customer Support Centre
	Fin Corp Ltd. | 10 Test Road | Test Street | AA12 123
	Direct Dial: +91 012345678 
	 
	 
	From: ABC XYZ <abc.xyz@testmail.com> 
	Sent: 17 November 2020 21:27
	To: Test Pension Fund
	Subject: Activation Code
	 
	Hi,
	 
	I left it rather to long to use the Fin Corp activation code sent to me. Could you send a new activation code.
	 
	Many thanks 
	 
	Best regards
	 
	ABC XYZ
"""
MDU,"""FW: Test Pension Scheme - TST12345678 - ABC XYZ""",""" 
 
From: ABC XYZ <abc.xyz@testmail.com>
Sent: Friday, November 20, 2020 8:45 PM
To: Test Pensions <test.pensions@pensions.com>
Subject: Test Pension Scheme - TST12345678 - ABC XYZ
 
Good afternoon, 
 
I am writing in reference to the above group life claim. I can confirm that the claim for Mr ABC XYZ has been registered onto our systems and we have commenced our assessment. 
 
I note that the address on the death register does not match the address provided on the claim form, please can you provide a reason for this? The address on the death register is 10 Test Road, Test Street, AA12 123. 
 
Kind regards, 
 
ABC XYZ
"""
MDU,"""FW: Test Pension Scheme""",""" 
 
From: ABC XYZ<abc.xyz@testmail.com>
Sent: Friday, November 20, 2020 11:34 PM
To: Test Pensions <test.pensions@pensions.com>
Subject: Re: Test Pension Scheme
 
Good evening
 
The info you require is as follows
 
ABC XYZ
10 Test Road,
Test Street,
AA12 123
 
ZZ123123Z
Regards 
ABC XYZ 



	On 17 Nov 2020, at 01:40, test.pensions@pensions.com <mailto:test.pensions@pensions.com>  wrote:
	﻿ 
	Dear ABC XYZ
	Test Pensions Scheme 
	Thank you for your email regarding the Test Pensions Scheme.
	To enable us to answer your enquiry, please could you provide your full address, date of birth and National Insurance number for data verification purposes?
	If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 8.30am and 5.30pm, Monday to Friday, or alternatively e-mail us at test.pensions@pensions.com.
	Yours sincerely
	ABC XYZ | Administrator | Customer Support Centre
	Test Pensions | 10 Test Road | Test Street | AA12 123
	Direct Dial: +91 012345678
	-----Original Message-----
	From: ABC XYZ<abc.xyz@testmail.com>
	Sent: 12 November 2020 16:38
	To: Test Pension
	Subject: Pension query
	Good morning
	A long time ago, around 1400/01 I worked for a company who were associated with your pension scheme. I do get a booklet from
	Test pension industries from time to time. However I am just wondering how I can get access to my own pension account. I worked for Fin Corp machine tool company in bredbury Stockport 
	Is there any login details I can log into?
	Any advice on this would be gratefully appreciated
	Regards
	ABC XYZ(DEF)
	Tel +91 012345678
"""
MDU,"""FW: Test Pension Scheme""",""" 
 
From: ABC XYZ<abc.xyz@testmail.com>
Sent: Friday, November 20, 2020 1:02 PM
To: RBC <RBC@mercer.com>
Subject: Re: Test Pension Scheme
 
 
Thank you for your email, my NI number is ZZ123123Z and my date of birth is 01/01/1400.

Kind regards
 
ABC XYZ 



	On 20 Nov 2020, at 06:59, test.pensions@pensions.com <mailto:test.pensions@pensions.com>  wrote:
	﻿ 
	Dear Mrs ABC XYZ
	Test Pension Scheme 
	Thank you for your email regarding the Test Pension Scheme.
	To enable us to answer your enquiry, please could you provide your date of birth and National Insurance number for data verification purposes?
	Should you have any further queries please do not hesitate to contact the Customer Support Centre between 8.30am and 5.30pm, Monday to Friday, on our helpline +91 012345678. Alternatively, please e-mail us at test.pensions@pensions.com <mailto:test.pensions@pensions.com>   
	Yours sincerely
	ABC XYZ | Administrator | Customer Support Centre
	Test Pensions | 10 Test Road | Test Street | AA12 123
	Direct Dial: +91 012345678 
	From: ABC XYZ<abc.xyz@testmail.com>
	Sent: 18 November 2020 23:32
	To: Test Pensions
	Subject: Change of Address - Mrs ABC XYZ
	I am writing to advise you that I have recently moved house and my new address is:
	10 Test Road,
	Test Street,
	AA12 123 
	I am not sure if you have my last address listed as:
	10 Test Road,
	Test Street,
	AA12 123
	if not then I it will be:
	10 Test Road,
	Test Street,
	AA12 123 
	Should you need any further information then please contact me on +91 012345678.
	Kind regards,
	ABC XYZ
"""
MDU,"""FW: Test Pension Scheme""",""" 
 
From: ABC XYZ <abc.xyz@testmail.com> 
Sent: Monday, November 23, 2020 1:47 PM
To: Test Pensions <test.pensions@pensions.com>
Subject: Fwd: Test Pension Scheme
 
Thank you for your reply. But this doesn't answer my query.
I already have an activation letter and code but for some reason your system will not recogise my email address when I try to add this in as part of the set up process.
Please can you investigate as a matter of urgency? I don't believe that sending a further activation letter won't fix the problem.
Thank you, 
Ian Mills
 
________________________________


From: Test Pensions
Date: Monday, 23 November 2020
Subject: Test Pensions Scheme
To: jmills255 
Dear Mr ABC XYZ
Test Pension Fund
Thank you for your email regarding the Test Pension Fund.
I have requested an activation letter to be issued to you via post. This will be issued within 5 working days. This will be active for 28 days.
If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 9.00 am and 5.00 pm, Monday to Friday, or alternatively e-mail us at fin.corp@testmail.com <mailto:fin.corp@testmail.com> .
Yours sincerely
ABC XYZ | Administrator | Customer Support Centre
Fin Corp Ltd. | 10 Test Road | Test Street | AA12 123
Direct Dial: +91 012345678 
From: ABC XYZ <abc.xyz@testmail.com> 
Sent: 19 November 2020 09:37
To: Fin Corp Support
Subject: Fwd: Logging issues re email address
As requested for security, here are further details
Nat Ins No. ZZ123123Z
Date of birth 01/01/1400
Address is as in email below.
Thanks
ABC XYZ
________________________________


From: ABC XYZ
Date: Wednesday, 18 November 2020
Subject: Logging issues re email address
To: Test Pensions
I have received my activation code today and tried to log into my Fin Corp account.
I entered the code, set a user name and password, but the system won't accept my email address. It says it's not recognised but I have entered my correct email address which is abc.xyz@testmail.com. 
P,ease can you advise as soon as possible?
Many thanks
ABC XYZ 
"""
MDU,"""FW: Test Pension Scheme; Scheme Member; Change of Address""",""" 
 
From: ABC XYZ<abc.xyz@testmail.com>
Sent: Saturday, November 21, 2020 11:44 PM
To: Test Pensions <SmithsPensionsAdmin@mercer.com>
Subject: Test Pension Scheme; Scheme Member; Change of Address
 
N.I Number: ZZ123123Z
 
Dear sir/madam
 
I have recently received a publication regarding the above pension scheme, redirected from my previous address, details below:
 
10 Test Road,
Test Street,
AA12 123
 
I wish to register a change of address to that detailed below:
 
10 Test Road,
Test Street,
AA12 123
 
Please could you acknowledge this change of address, and forward any future information regarding the above referenced scheme to the changed address.
 
Many thanks,
ABC XYZ
 
Lead Assessor
 
Mobile number +91 012345678
Email: abc.xyz@testmail.com
 
 
"""
MDU,"""FW: Test Pensions - ABC XYZ - 123456""",""" 
 
From: test.pensions@pensions.com
Sent: 21 November 2020 18:12
To: abc.xyz@testmail.com
Cc: test.ifa@fincorp.com
Subject: Test Pensions - ABC XYZ - 123456
 
CAUTION: This email originates from a non-Jaguarlandrover source. Do not click links or open attachments unless you recognise the sender and know the content is safe.
 
Hi
 
We have been advised by the above member that they have moved from 10 Test Road, Test Street, AA12 123
 
Please could you confirm the new address from your records.
 
Thanks 
 
Jaguar Pension Plan 
"""
MDU,"""FW: Test Pensions - ABC XYZ - 123456""",""" 
 
From: test.pensions@pensions.com
Sent: 21 November 2020 18:12
To: abc.xyz@testmail.com
Cc: test.ifa@fincorp.com
Subject: Test Pensions - ABC XYZ - 123456
 
CAUTION: This email originates from a non-Jaguarlandrover source. Do not click links or open attachments unless you recognise the sender and know the content is safe.
 
Hi
 
We have been advised by the above member that they have moved from 10 Test Road, Test Street, AA12 123
 
Please could you confirm the new address from your records.
 
Thanks 
 
Jaguar Pension Plan 
"""
MDU,"""FW: Test Pensions Query""",""" 
 
From: ABC XYZ <abc.xyz@testmail.com>
Sent: Sunday, November 22, 2020 6:29 PM
To: test.pensions@pensions.com
Subject: Re: Test Pensions Query
 
As requested, additional information
 
Name: ABC XYZ
DOB: 01/01/1400
NI: ZZ123123Z
 
I have recently had my pension transferred over to you. My member reference is 12345678.
 
I’m all my previous correspondence from the previous supplier I had a pension age of 60 for some benefits and 63 for the remainder. I note that on your website you show my normal retirement age as 65.
 
Please can you clarify why this change has been made?
 
Thank you,
 
ABC XYZ
 
 
From: abc.xyz@testmail.com <mailto:abc.xyz@testmail.com>  
Date: Sunday, 22 November 2020 at 12:28
To: 
Subject: Test Pensions Query
 
Dear Sir,
 
I have recently had my pension transferred over to you. My member reference is 12345678.
 
I’m all my previous correspondence from the previous supplier I had a pension age of 60 for some benefits and 63 for the remainder. I note that on your website you show my normal retirement age as 65.
 
Please can you clarify why this change has been made?
 
Thank you,
 
ABC XYZ
"""
MDU,"""FW: Test Pensions Query""",""" 
 
From: ABC XYZ <abc.xyz@testmail.com>
Sent: Sunday, November 22, 2020 6:29 PM
To: test.pensions@pensions.com
Subject: Re: Test Pensions Query
 
As requested, additional information
 
Name: ABC XYZ
DOB: 01/01/1400
NI: ZZ123123Z
 
I have recently had my pension transferred over to you. My member reference is 12345678.
 
I’m all my previous correspondence from the previous supplier I had a pension age of 60 for some benefits and 63 for the remainder. I note that on your website you show my normal retirement age as 65.
 
Please can you clarify why this change has been made?
 
Thank you,
 
ABC XYZ
 
 
From: abc.xyz@testmail.com <mailto:abc.xyz@testmail.com>  
Date: Sunday, 22 November 2020 at 12:28
To: 
Subject: Test Pensions Query
 
Dear Sir,
 
I have recently had my pension transferred over to you. My member reference is 12345678.
 
I’m all my previous correspondence from the previous supplier I had a pension age of 60 for some benefits and 63 for the remainder. I note that on your website you show my normal retirement age as 65.
 
Please can you clarify why this change has been made?
 
Thank you,
 
ABC XYZ
"""
MDU,"""FW: Test Pensions Scheme - ABC XYZ""",""" 
 
From: ABC XYZ < abc.xyz@testmail.com > 
Sent: Friday, November 20, 2020 10:24 AM
To: Test Pensions <test.pensions@pensions.com>
Cc: Test IFA<test.ifa@fincorp.com>         
Subject: Test Pensions Scheme - ABC XYZ
 
Hi Team,
 
Further to the below email could you please request document over post.
 
 
ABC XYZ , Senior Associate

Fin Corp Ltd. | 10 Test Road | Test Street | AA12 123,
 
From: Test Pensions
Sent: 19 November 2020 09:31
To: ABC XYZ
Subject: Test Pensions Scheme - ABC XYZ
 
Dear ABC XYZ
 
Test Pension Scheme 
 
Thank you for your email regarding the Test Pension Scheme.
 
I can confirm I have forwarded your email to our administration department and they will be in contact shortly.
 
If you have any further queries, please do not hesitate to contact the Customer Support Centre between 8.30am and 5.30pm, Monday to Friday on our helpline +91 012345678. Alternatively, please e-mail us at test.pensions@pensions.com <mailto:test.pensions@pensions.com>  
 
Yours sincerely
 
ABC XYZ | Administrator | Customer Support Centre
Test Pensions | 10 Test Road | Test Street | AA12 123
Direct Dial: +91 012345678
 
 
From: ABC XYZ <abc.xyz@testmail.com>
Sent: 17 November 2020 08:42
To: Test Pensions
Subject: Test Pensions, registering Court of Protection
 
Further to your email, I can confirm we have received the sealed copy of the Court of Protection, see below the document with the Court seal imprinted at the bottom of each page.
 
We were issued with only one sealed copy and have been using this to notify all organisations. We hope you can use this to amend your records and send any correspondence to 10 Test Road, Test Street, AA12 123
 
Regards
ABC XYZ
 
 
Sent from my iPad
"""
MDU,"""FW: Test Pensions Scheme - ABC XYZ""",""" 
 
From: ABC XYZ < abc.xyz@testmail.com > 
Sent: Friday, November 20, 2020 10:24 AM
To: Test Pensions <test.pensions@pensions.com>
Cc: Test IFA<test.ifa@fincorp.com>         
Subject: Test Pensions Scheme - ABC XYZ
 
Hi Team,
 
Further to the below email could you please request document over post.
 
 
ABC XYZ , Senior Associate

Fin Corp Ltd. | 10 Test Road | Test Street | AA12 123,
 
From: Test Pensions
Sent: 19 November 2020 09:31
To: ABC XYZ
Subject: Test Pensions Scheme - ABC XYZ
 
Dear ABC XYZ
 
Test Pension Scheme 
 
Thank you for your email regarding the Test Pension Scheme.
 
I can confirm I have forwarded your email to our administration department and they will be in contact shortly.
 
If you have any further queries, please do not hesitate to contact the Customer Support Centre between 8.30am and 5.30pm, Monday to Friday on our helpline +91 012345678. Alternatively, please e-mail us at test.pensions@pensions.com <mailto:test.pensions@pensions.com>  
 
Yours sincerely
 
ABC XYZ | Administrator | Customer Support Centre
Test Pensions | 10 Test Road | Test Street | AA12 123
Direct Dial: +91 012345678
 
 
From: ABC XYZ <abc.xyz@testmail.com>
Sent: 17 November 2020 08:42
To: Test Pensions
Subject: Test Pensions, registering Court of Protection
 
Further to your email, I can confirm we have received the sealed copy of the Court of Protection, see below the document with the Court seal imprinted at the bottom of each page.
 
We were issued with only one sealed copy and have been using this to notify all organisations. We hope you can use this to amend your records and send any correspondence to 10 Test Road, Test Street, AA12 123
 
Regards
ABC XYZ
 
 
Sent from my iPad
"""
MDU,"""FW: Updated Address and contact details""",""" 
 
From: ABC XYZ<abc.xyz@testmail.com> > 
Sent: Friday, November 20, 2020 3:39 AM
To: Test Pensions <test.pensions@pensions.com>
Subject: Updated Address and contact details
 
Hi, 
 
I am a deferred member of the Test pension scheme and would like to update my contact details:
 
Name: ABC XYZ
NI Number: ZZ 12 31 23 Z
 
Old Address:
10 Test Road,
Test Street,
AA12 123
 
New Address:
10 Test Road,
Test Street,
AA12 123
 
I would like to get updates and newsletters via email to abc.xyz@testmail.com
 
Thanks, 
 
ABC XYZ
"""
